timestamp,facility_name,practitioner_name,practitioner_title,address,address_2,city,zip,phone_number,email,website,facility_type,staff_mask,mask_required,mask_enforced,all_mask,all_mask_required,all_mask_enforced,patients_mask,patients_mask_required,patients_mask_enforced,mask_request,elevator,hepa,hepa_on,co2,co2_reading,co2_location,comments,mask_type,ada_request,KN95,N95,surgical,none,unknown
2024-06-14,"Riverside Medical S.C., Arlington Heights",,,3405 N Arlington Heights Road,,Arlington Heights,,,,https://riversidemedicalsc.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",No,No,No,No,No,No,No,No,No,Not Applicable - No Mask Requirement Requested,No,No,Maybe/Unknown/Not Applicable,Yes,1900 and I was the first appointment of the day,In the patient rooms where you see the doctor,This facility has horrible ventilation. Dr. Flershem is not friendly to people who mask.,Not Applicable - no masks,No,False,False,False,True,False
2024-06-15,University of Chicago Medicine health system,,,,,Chicago,60637.0,,,,"Hospitals, clinics, treatment centers",No,No,No,No,No,No,No,No,No,"Medical Staff  - everywhere, All Staff - patient facing only",Yes,Maybe/Unknown,Maybe/Unknown/Not Applicable,No,,,"I’m UChicago Medicine staff and submitting information anonymously, based on an email received internally yesterday - Friday, June 14","KN95s - better than surgical/proceedure but don't appear to be N95 quality, Proceedure/Surgical - ""baggy blues""","Yes, but it's a hassle to work with staff",True,False,True,False,False
2024-06-18,Ican!,"Hello! I wanted to share this info from work, there is a program called ICAN! through the HFS Family Planning program, and on top of all the services they offer for people who make at or under 3600 before taxes, any immigration status, do not have medicaid (you can use this if you have private insurance or marketplace) you can get covid vaccines covered. ",https://ican4all.org/?utm_source=GoogleSearch&utm_medium=paid-ads&utm_campaign=brandedsearch-2024&gad_source=1&gclid=Cj0KCQjw4MSzBhC8ARIsAPFOuyXUydnvO_xVvdsADdvKDPk2qiVd9jZXa55RV3rE37zDtqhWDR03qM8aAj1fEALw_wcB,,,Illinois,,,,,Program ,Maybe/Unknown,Maybe/Unknown,Maybe/Unknown/Not Applicable,Maybe/Unknown,Maybe/Unknown,Maybe/Unknown/Not Applicable,Maybe/Unknown,Maybe/Unknown,Maybe/Unknown/Not Applicable,Not Applicable - No Mask Requirement Requested,Maybe/Unknown,Maybe/Unknown,Maybe/Unknown/Not Applicable,,,,,Not Applicable - no masks,,False,False,False,True,False
2024-06-18,UIC ,Mary Biglin,"Gastroenterology, Extremely Knowledgable of MCAS, POTS, EDS, eosinophilic esophagitis",,,Chicago,,,,https://hospital.uillinois.edu/find-a-doctor/mary-biglin,Hospital,Yes,No,No,No,No,No,No,No,No,"Medical Staff - patient facing only, Medical Staff - in treatment room/spaces only",Yes,No,Maybe/Unknown/Not Applicable,No,,,Helllooo okay so- specifically Mary masks and would wear an kn95 if you ask her. I had an endoscopy and she ensured everyone was masking in the room during the procedure when i asked (she told me she would either way even if i didnt mask) and mask sure my mask was put back on after it was done,"Proceedure/Surgical - ""baggy blues""",Yes,False,False,True,False,False
2024-06-18,Advocate Aurora,Lydia Isaac,Cardiology- Very Knowledgeable on POTs Syndrome,9831 South Western Avenue,,Chicago,60643.0,,,https://care.advocatehealth.com/doctors/lydia-e-issac-chicago-cardiology-2#/cardiology,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",No,No,No,No,No,No,No,No,No,"Request wasn't made, but medical staff masked when they saw masked patient",Yes,No,Maybe/Unknown/Not Applicable,,,,,"Proceedure/Surgical - ""baggy blues""",Yes,False,False,True,False,False
2024-06-18,UIC,Dr Sagina Hanjrah,"Primary Care - I wanted to share Dr Hanjrahs information because while I do not know if she is masking, I have seen her completely virtually the entire year I have seen her. Folks should call in to schedule a virtual appointment, and she is great with chronic illness. ",,,Chicago,,,,https://hospital.uillinois.edu/find-a-doctor/sagina-hanjrah,Hospital,Maybe/Unknown,No,No,No,No,No,No,No,No,Not Applicable - No Mask Requirement Requested,Maybe/Unknown,No,No,,,,,Unknown/Cannot Determine,,False,False,False,False,True
2024-06-18,NorthShore,Richard Ted Wlodarski,"Neurology- Sharing this because I know ALOT of people with POTS are on the waitlist to see Dr Barboi and many see Dr Wlodarski bc Dr Barbois wait list is so high. He was helpful in making a determinant of pots BUT  does not mask, is not great about medication management and is booked out almost a year. Dr Lydia Isaac has done more to help me manage my Pots Syndrome tbh, and with Dr W I felt there wasnt alot of questions asked that would provide crucial information towards my treatment plan that I ended up telling him at the end that changed the course of what we did. I would honestly try to see Dr Isaac before Dr. Barboi or Dr Wlodarski . ",,,Glenview,,,,,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",No,No,No,No,No,No,No,No,No,Not Applicable - No Mask Requirement Requested,Yes,Maybe/Unknown,Maybe/Unknown/Not Applicable,,,,,Not Applicable - no masks,,False,False,False,True,False
2024-06-18,Premier Allergy,Eileen Siegel and Kathleen Finneke ,Allergist/ Immunologist - hugely helpful for asthma and MCAS,,,Chicago ,,,https://www.premier-allergy.com/,,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",Yes,No,No,No,No,No,No,No,No,"Medical Staff - patient facing only, Medical Staff - in treatment room/spaces only",No,Maybe/Unknown,Maybe/Unknown/Not Applicable,,,,"So Eileen and Kathleen mask with an KN95, Eileen I have had an extensive convo with about covid and she agrees everyone should still be masking. Receptionists do not mask but assistants to Eileen and Kathleen will if you ask them to and they can put something in your chart that tells people to mask when you are there. Additionally they are great about chosen names. ",KN95s - better than surgical/proceedure but don't appear to be N95 quality,,True,False,False,False,False
2024-06-18,Northwestern Rheumatology,"Corinna E. Weckerle, MD",Rheumatology ,27650 Ferry Rd Ste 210,,Warrenville,60555.0,,,https://www.nm.org/doctors/1083771711/corinna-e-weckerle-md,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",Yes,No,No,No,No,No,No,No,No,"Medical Staff - patient facing only, Medical Staff - in treatment room/spaces only",Yes,Maybe/Unknown,Maybe/Unknown/Not Applicable,,,,"Dr Weckerle has worn a surgical when I see her. She helps manage my Sjogrens and is super responsive on mychart and really believes her patients which was pivotal for me when i first started seeing her at 23 with an less common autoimmune disease. I know its a drive for most but I would hugely recommend to see her if you have Sjogrens, especially with how responsive she is on mychart. ","Proceedure/Surgical - ""baggy blues""",,False,False,True,False,False
2024-06-18,Therapist ,Jenny Levine ,Therapist Specializing in OCD and Anxiety,,,Virtual ,,,jenny@levinebehavioralhealth.com,,Therapist,Yes,Maybe/Unknown,Maybe/Unknown/Not Applicable,Maybe/Unknown,Maybe/Unknown,Maybe/Unknown/Not Applicable,Maybe/Unknown,Maybe/Unknown,Maybe/Unknown/Not Applicable,Not Applicable - No Mask Requirement Requested,Maybe/Unknown,Maybe/Unknown,Maybe/Unknown/Not Applicable,,,,"I wanted to share Jenny's info because shes been really helpful in my treatment of my OCD and anxiety, and has never once conflated my covid precautions to my ocd. She masks in most public spaces, is covid aware and is also really chronic illness/disability aware too. ",Unknown/Cannot Determine,,False,False,False,False,True
2024-06-25,UI Health Family Medicine Center at University Village,,,722 Maxwell St,,Chicago ,60607.0,(866) 600-2273,,,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,Medical Staff - in treatment room/spaces only,Yes,No,Maybe/Unknown/Not Applicable,No,,,,"Proceedure/Surgical - ""baggy blues""",,False,False,True,False,False
2024-07-02,Ascension Medical Group Illinois,Dr. Alyssa Jeanne Vest Hart,primary care,711 West North Ave Fl 1 ,,Chicago,60610.0,(312) 337-1982,,,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",No,No,No,No,No,No,No,No,No,Medical Staff - in treatment room/spaces only,No,No,Maybe/Unknown/Not Applicable,Yes,994,treatment room,"Sign at front desk, prominently displayed, that says “The county covid level is low. Masks are optional in this building”

Dr Vest Hart entered the treatment room unmasked. I requested she mask she said absolutely and left to look for an n95. Returned wearing a baggy blue mask.

Ascension Medical Group Illinois (including Dr Vest Hart's office) is on the first floor, no stairs. 

The lab is on the 2nd floor via elevator. The lab has signs at the door saying masks ARE required.","Proceedure/Surgical - ""baggy blues""",,False,False,True,False,False
2024-07-03,Northwestern Memorial Hospital,Wenyu Huang,Endocrinology,675 N St Clair St ,Suite 1400 ,Chicago,60611.0,(312) 695-7970,,nm.org,Hospital,Yes,Maybe/Unknown,Yes,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,Medical Staff - in treatment room/spaces only,Yes,No,Maybe/Unknown/Not Applicable,No,,,Doctor accepts telehealth appointments and is able to conduct visual exam via telehealth,"Proceedure/Surgical - ""baggy blues""",,False,False,True,False,False
2024-07-03,Northwestern Medical Grayslake,Saleh Eftaiha MD,Colorectal Surgery,1475 E Belvidere Rd ,PAV A STE 311 ,Grayslake,60030.0,847-234-4310,,,Hospital,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,Medical Staff - in treatment room/spaces only,Yes,No,Maybe/Unknown/Not Applicable,No,,,Least masking I've seen anywhere since the beginning of the pandemic. Doctor's baggy blue kept falling off his face during the exam. ,"Proceedure/Surgical - ""baggy blues""",,False,False,True,False,False
2024-07-03,Northwestern Memorial Hospital Main Campus,Jessica Kubasak,Physical Therapist ,250 E SUPERIOR ST ,STE 05-2204 ,Chicago,60611.0,312-926-8811,,,Hospital,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,"Medical Staff - patient facing only, Medical Staff - in treatment room/spaces only",Yes,No,Maybe/Unknown/Not Applicable,,,,I messaged this physical therapist with my concerns about being in a closed room with her for an hour and she happily agreed to wear an N95 and said she wears them regulalry as a matter of course. ,Respirators - N95s or better,Yes,False,True,False,False,False
